Date,Partner,Channel,Product,Campaign,Adset,Ad,Theme,Script,Primary Description,Cta Headline,Cta Button,Adtype,Primary,Secondary,Genders,Locations,Ad Duration,Budget,Spend,Leads,Cost Per Lead,Goals,Link Click Conversion Rate,Hold Rate,Hook Rate,Quality Rating
2024-10-18,Luxofy,Meta,Azul,Oct 15 Tailored Leads Campaign,Oct 15 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","HNWI, High Value Goods",Both,"Chandigarh (10 mi), Delhi (10 mi), Amritsar (10 mi), Jalandhar (10 mi), Ludhiana (10 mi), Noida (10 mi)",4.0,"9,000.00",8644.48,17.0,508.5,1.0,,,,Good
2024-10-18,Luxofy,Meta,Goa Villas,Oct 15 Tailored Leads Campaign,Oct 15 Metro West HNWI,Goa V1,Goa's Finest Living,"Own a Villa in the Beautiful Goa, While sitting back and enjoying 1.75 Lakhs Rent per Month. 

Here is your path for owning the ultimate holiday home! Luxofy helps you turn your Goa getaway into a wealth-generating asset. Want a property that mirrors your success? 

Guirim offers exclusivity and innovation. Invest around Candolim, offering long-term financial returns. You could own at Parra, blending timeless elegance and modern luxury. Looking for sophistication and comfort.

So, Why just visit when you can own your dream home?
","Your ultimate Holiday home awaits. Luxofy offers most exclusive luxury villas in the serene setting of nature's Goa., Sought after by elite weekenders from around India. Now is the time to own your piece of paradise.

Book a Site Visit Today",Own Ultra Luxury Holiday Homes in the nature's Goa,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","HNWI, High Value Goods",Both,"Delhi (8 mi), Gurugram (8 mi), Mumbai (2 mi), Kanpur (7 mi)",4.0,"3,300.00",3230.43,7.0,461.49,0.0,,,,Good
2024-10-19,Luxofy,Meta,Azul,Oct 15 Tailored Leads Campaign,Oct 15 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","HNWI, High Value Goods",Both,"Delhi (8 mi), Delhi (8 mi), Gurugram (8 mi), Mumbai (2 mi), Mumbai (2 mi), Kanpur (7 mi)",5.0,"9,000.00",5312.72,7.0,758.96,2.0,,,,Poor
2024-10-19,Luxofy,Meta,Goa Villas,Oct 15 Tailored Leads Campaign,Oct 15 Metro West HNWI,Goa V1,Goa's Finest Living,"Own a Villa in the Beautiful Goa, While sitting back and enjoying 1.75 Lakhs Rent per Month. 

Here is your path for owning the ultimate holiday home! Luxofy helps you turn your Goa getaway into a wealth-generating asset. Want a property that mirrors your success? 

Guirim offers exclusivity and innovation. Invest around Candolim, offering long-term financial returns. You could own at Parra, blending timeless elegance and modern luxury. Looking for sophistication and comfort.

So, Why just visit when you can own your dream home?
","Your ultimate Holiday home awaits. Luxofy offers most exclusive luxury villas in the serene setting of nature's Goa., Sought after by elite weekenders from around India. Now is the time to own your piece of paradise.

Book a Site Visit Today",Own Ultra Luxury Holiday Homes in the nature's Goa,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","HNWI, High Value Goods",Both,"Chandigarh (10 mi), Delhi (10 mi), Amritsar (10 mi), Jalandhar (10 mi), Ludhiana (10 mi), Noida (10 mi)",5.0,"3,300.00",1799.85,2.0,899.93,2.0,,,,Average
2024-10-20,Luxofy,Meta,Azul,Oct 15 Tailored Leads Campaign,Oct 15 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","HNWI, High Value Goods, Yacht Club",Both,"Chandigarh (10 mi), Delhi (10 mi), Amritsar (10 mi), Jalandhar (10 mi), Ludhiana (10 mi), Noida (10 mi)",6.0,"9,000.00",9213.31,17.0,541.96,0.0,,,,Good
2024-10-20,Luxofy,Meta,Goa Villas,Oct 15 Tailored Leads Campaign,Oct 15 Metro West HNWI,Goa V1,Goa's Finest Living,"Own a Villa in the Beautiful Goa, While sitting back and enjoying 1.75 Lakhs Rent per Month. 

Here is your path for owning the ultimate holiday home! Luxofy helps you turn your Goa getaway into a wealth-generating asset. Want a property that mirrors your success? 

Guirim offers exclusivity and innovation. Invest around Candolim, offering long-term financial returns. You could own at Parra, blending timeless elegance and modern luxury. Looking for sophistication and comfort.

So, Why just visit when you can own your dream home?
","Your ultimate Holiday home awaits. Luxofy offers most exclusive luxury villas in the serene setting of nature's Goa., Sought after by elite weekenders from around India. Now is the time to own your piece of paradise.

Book a Site Visit Today",Own Ultra Luxury Holiday Homes in the nature's Goa,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","HNWI, High Value Goods, Yacht Club",Both,"Chandigarh (10 mi), Delhi (10 mi), Amritsar (10 mi), Jalandhar (10 mi), Ludhiana (10 mi), Noida (10 mi)",6.0,"3,300.00",3460.69,4.0,865.17,0.0,,,,Average
2024-10-21,Luxofy,Meta,Azul,Oct 15 Tailored Leads Campaign,Oct 15 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","HNWI,, High Value Goods",Both,"Chandigarh (10 mi), Delhi (10 mi), Amritsar (10 mi), Jalandhar (10 mi), Ludhiana (10 mi), Noida (10 mi)",7.0,"9,000.00",10667.79,10.0,1066.78,2.0,,,,Average
2024-10-21,Luxofy,Meta,Goa Villas,Oct 15 Tailored Leads Campaign,Oct 21 Metro West HNWI,Goa V1,Goa's Finest Living,"Own a Villa in the Beautiful Goa, While sitting back and enjoying 1.75 Lakhs Rent per Month. 

Here is your path for owning the ultimate holiday home! Luxofy helps you turn your Goa getaway into a wealth-generating asset. Want a property that mirrors your success? 

Guirim offers exclusivity and innovation. Invest around Candolim, offering long-term financial returns. You could own at Parra, blending timeless elegance and modern luxury. Looking for sophistication and comfort.

So, Why just visit when you can own your dream home?
","Your ultimate Holiday home awaits. Luxofy offers most exclusive luxury villas in the serene setting of nature's Goa., Sought after by elite weekenders from around India. Now is the time to own your piece of paradise.

Book a Site Visit Today",Own Ultra Luxury Holiday Homes in the nature's Goa,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","HNWI, High Value Goods",Both,"Chandigarh (10 mi), Delhi (10 mi), Amritsar (10 mi), Jalandhar (10 mi), Ludhiana (10 mi), Noida (10 mi)",7.0,"3,300.00",3407.99,3.0,1136.0,0.0,,,,Poor
2024-10-22,Luxofy,Meta,Azul,Oct 15 Tailored Leads Campaign,Oct 21 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","HNWI, High Value Goods",Both,"Chandigarh (10 mi), Delhi (10 mi), Amritsar (10 mi), Jalandhar (10 mi), Ludhiana (10 mi), Noida (10 mi)",8.0,"9,600.00",4364.11,4.0,1091.03,1.0,,,,Poor
2024-10-22,Luxofy,Meta,Goa Villas,Oct 15 Tailored Leads Campaign,Oct 21 Metro West HNWI,Goa V1,Goa's Finest Living,"Own a Villa in the Beautiful Goa, While sitting back and enjoying 1.75 Lakhs Rent per Month. 

Here is your path for owning the ultimate holiday home! Luxofy helps you turn your Goa getaway into a wealth-generating asset. Want a property that mirrors your success? 

Guirim offers exclusivity and innovation. Invest around Candolim, offering long-term financial returns. You could own at Parra, blending timeless elegance and modern luxury. Looking for sophistication and comfort.

So, Why just visit when you can own your dream home?
","Your ultimate Holiday home awaits. Luxofy offers most exclusive luxury villas in the serene setting of nature's Goa., Sought after by elite weekenders from around India. Now is the time to own your piece of paradise.

Book a Site Visit Today",Own Ultra Luxury Holiday Homes in the nature's Goa,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Jones Lang LaSalle","HNWI, High Value Goods, Yacht Club",Both,"Chandigarh (10 mi), Delhi (10 mi), Amritsar (10 mi), Jalandhar (10 mi), Ludhiana (10 mi), Noida (10 mi)",8.0,"3,300.00",1966.78,0.0,0.0,0.0,,,,Poor
2024-10-23,Luxofy,Meta,Azul,Oct 15 Tailored Leads Campaign,Oct 21 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","HNWI, High Value Goods",Both,,9.0,"9,600.00",9613.66,3.0,3204.55,0.0,,,,Poor
2024-10-23,Luxofy,Meta,Goa Villas,Oct 15 Tailored Leads Campaign,Oct 21 Metro West HNWI,Goa V1,Goa's Finest Living,"Own a Villa in the Beautiful Goa, While sitting back and enjoying 1.75 Lakhs Rent per Month. 

Here is your path for owning the ultimate holiday home! Luxofy helps you turn your Goa getaway into a wealth-generating asset. Want a property that mirrors your success? 

Guirim offers exclusivity and innovation. Invest around Candolim, offering long-term financial returns. You could own at Parra, blending timeless elegance and modern luxury. Looking for sophistication and comfort.

So, Why just visit when you can own your dream home?
","Your ultimate Holiday home awaits. Luxofy offers most exclusive luxury villas in the serene setting of nature's Goa., Sought after by elite weekenders from around India. Now is the time to own your piece of paradise.

Book a Site Visit Today",Own Ultra Luxury Holiday Homes in the nature's Goa,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","HNWI, High Value Goods, Yacht Club",Both,"Hyderabad (2 mi), Juhu (2mi), Surat (3mi), whitefeild, Karnataka (2mi)",9.0,"3,300.00",3736.39,1.0,3736.39,0.0,,,,Poor
2024-10-24,Luxofy,Meta,Azul,16th October Tailored Leads,Oct 21 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","HNWI, High Value Goods",Both,"Whitefeild, Karnataka (2mi), Chandigarh (10 mi), Delhi (10 mi), Amritsar (10 mi), Jalandhar (10 mi), Ludhiana (10 mi), Noida (10 mi)",9.0,"9,250.00",9635.12,4.0,2408.78,3.0,,,,
2024-10-24,Luxofy,Meta,Goa Villas,16th October Tailored Leads,Oct 21 Metro West HNWI,Goa V1,Goa's Finest Living,"Own a Villa in the Beautiful Goa, While sitting back and enjoying 1.75 Lakhs Rent per Month. 

Here is your path for owning the ultimate holiday home! Luxofy helps you turn your Goa getaway into a wealth-generating asset. Want a property that mirrors your success? 

Guirim offers exclusivity and innovation. Invest around Candolim, offering long-term financial returns. You could own at Parra, blending timeless elegance and modern luxury. Looking for sophistication and comfort.

So, Why just visit when you can own your dream home?
","Your ultimate Holiday home awaits. Luxofy offers most exclusive luxury villas in the serene setting of nature's Goa., Sought after by elite weekenders from around India. Now is the time to own your piece of paradise.

Book a Site Visit Today",Own Ultra Luxury Holiday Homes in the nature's Goa,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","Owner and CEO, HNWI, High Value Goods",Both,"Juhu (2mi), Surat (3mi), Chandigarh (10 mi), Delhi (10 mi), Amritsar (10 mi), Jalandhar (10 mi), Ludhiana (10 mi), Noida (10 mi)",9.0,"3,300.00",3757.49,2.0,1878.75,1.0,,,,
2024-10-25,Luxofy,Meta,Azul,16th October Tailored Leads,Oct 21 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,"Property Investment Club,  Nakheel Properties, DAMAC Properties, Omniyat","HNWI, High Value Goods, Yacht Club",Both,"Hyderabad (2 mi), whitefeild, Karnataka (2mi), Chandigarh (10 mi), Delhi (10 mi), Amritsar (10 mi), Jalandhar (10 mi), Ludhiana (10 mi), Noida (10 mi)",10.0,"1,000.00",3023.99,2.0,1512.0,0.0,,,,
