Date,Partner,Channel,Product,Campaign,ADSet,AD,Theme,Script,Primary Description,CTA Headline,CTA Button,ADType,Primary,Secondary,Genders,Locations,AD Duration,Budget,Spend,Leads,Cost Per Lead,Goals,Link Click Conversion Rate,Hold Rate,Hook Rate,Quality Rating
10/18/24,Luxofy,Meta,Azul,Oct 15 Tailored Leads Campaign,Oct 15 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","HNWI, High Value Goods",Both,"Chandigarh (10 mi), Delhi (10 mi), Amritsar (10 mi), Jalandhar (10 mi), Ludhiana (10 mi), Noida (10 mi)

",4,"9,000.00","8,644.48",17,508.5,1,,,,Good
10/18/24,Luxofy,Meta,Goa Villas,Oct 15 Tailored Leads Campaign,Oct 15 Metro West HNWI,Goa V1,Goa's Finest Living,"Own a Villa in the Beautiful Goa, While sitting back and enjoying 1.75 Lakhs Rent per Month. 

Here is your path for owning the ultimate holiday home! Luxofy helps you turn your Goa getaway into a wealth-generating asset. Want a property that mirrors your success? 

Guirim offers exclusivity and innovation. Invest around Candolim, offering long-term financial returns. You could own at Parra, blending timeless elegance and modern luxury. Looking for sophistication and comfort.

So, Why just visit when you can own your dream home?
","Your ultimate Holiday home awaits. Luxofy offers most exclusive luxury villas in the serene setting of nature's Goa., Sought after by elite weekenders from around India. Now is the time to own your piece of paradise.

Book a Site Visit Today",Own Ultra Luxury Holiday Homes in the nature's Goa,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","HNWI, High Value Goods",Both,"Delhi (8 mi), Gurugram (8 mi), Mumbai (2 mi), Kanpur (7 mi)",4,"3,300.00","3,230.43",7,461.49,0,,,,Good
10/19/24,Luxofy,Meta,Azul,Oct 15 Tailored Leads Campaign,Oct 15 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","HNWI, High Value Goods",Both,"Delhi (8 mi), Delhi (8 mi), Gurugram (8 mi), Mumbai (2 mi), Mumbai (2 mi), Kanpur (7 mi)",5,"9,000.00","5,312.72",7,758.96,2,,,,Poor
10/19/24,Luxofy,Meta,Goa Villas,Oct 15 Tailored Leads Campaign,Oct 15 Metro West HNWI,Goa V1,Goa's Finest Living,"Own a Villa in the Beautiful Goa, While sitting back and enjoying 1.75 Lakhs Rent per Month. 

Here is your path for owning the ultimate holiday home! Luxofy helps you turn your Goa getaway into a wealth-generating asset. Want a property that mirrors your success? 

Guirim offers exclusivity and innovation. Invest around Candolim, offering long-term financial returns. You could own at Parra, blending timeless elegance and modern luxury. Looking for sophistication and comfort.

So, Why just visit when you can own your dream home?
","Your ultimate Holiday home awaits. Luxofy offers most exclusive luxury villas in the serene setting of nature's Goa., Sought after by elite weekenders from around India. Now is the time to own your piece of paradise.

Book a Site Visit Today",Own Ultra Luxury Holiday Homes in the nature's Goa,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","HNWI, High Value Goods",Both,"Chandigarh (10 mi), Delhi (10 mi), Amritsar (10 mi), Jalandhar (10 mi), Ludhiana (10 mi), Noida (10 mi)",5,"3,300.00","1,799.85",2,899.93,2,,,,Average
10/20/24,Luxofy,Meta,Azul,Oct 15 Tailored Leads Campaign,Oct 15 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","HNWI, High Value Goods, Yacht Club",Both,"Chandigarh (10 mi), Delhi (10 mi), Amritsar (10 mi), Jalandhar (10 mi), Ludhiana (10 mi), Noida (10 mi)",6,"9,000.00","9,213.31",17,541.96,0,,,,Good
10/20/24,Luxofy,Meta,Goa Villas,Oct 15 Tailored Leads Campaign,Oct 15 Metro West HNWI,Goa V1,Goa's Finest Living,"Own a Villa in the Beautiful Goa, While sitting back and enjoying 1.75 Lakhs Rent per Month. 

Here is your path for owning the ultimate holiday home! Luxofy helps you turn your Goa getaway into a wealth-generating asset. Want a property that mirrors your success? 

Guirim offers exclusivity and innovation. Invest around Candolim, offering long-term financial returns. You could own at Parra, blending timeless elegance and modern luxury. Looking for sophistication and comfort.

So, Why just visit when you can own your dream home?
","Your ultimate Holiday home awaits. Luxofy offers most exclusive luxury villas in the serene setting of nature's Goa., Sought after by elite weekenders from around India. Now is the time to own your piece of paradise.

Book a Site Visit Today",Own Ultra Luxury Holiday Homes in the nature's Goa,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","HNWI, High Value Goods, Yacht Club",Both,"Chandigarh (10 mi), Delhi (10 mi), Amritsar (10 mi), Jalandhar (10 mi), Ludhiana (10 mi), Noida (10 mi)",6,"3,300.00","3,460.69",4,865.17,0,,,,Average
10/21/24,Luxofy,Meta,Azul,Oct 15 Tailored Leads Campaign,Oct 15 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","HNWI,, High Value Goods",Both,"Chandigarh (10 mi), Delhi (10 mi), Amritsar (10 mi), Jalandhar (10 mi), Ludhiana (10 mi), Noida (10 mi)",7,"9,000.00","10,667.79",10,1066.78,2,,,,Average
10/21/24,Luxofy,Meta,Goa Villas,Oct 15 Tailored Leads Campaign,Oct 21 Metro West HNWI,Goa V1,Goa's Finest Living,"Own a Villa in the Beautiful Goa, While sitting back and enjoying 1.75 Lakhs Rent per Month. 

Here is your path for owning the ultimate holiday home! Luxofy helps you turn your Goa getaway into a wealth-generating asset. Want a property that mirrors your success? 

Guirim offers exclusivity and innovation. Invest around Candolim, offering long-term financial returns. You could own at Parra, blending timeless elegance and modern luxury. Looking for sophistication and comfort.

So, Why just visit when you can own your dream home?
","Your ultimate Holiday home awaits. Luxofy offers most exclusive luxury villas in the serene setting of nature's Goa., Sought after by elite weekenders from around India. Now is the time to own your piece of paradise.

Book a Site Visit Today",Own Ultra Luxury Holiday Homes in the nature's Goa,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","HNWI, High Value Goods",Both,"Chandigarh (10 mi), Delhi (10 mi), Amritsar (10 mi), Jalandhar (10 mi), Ludhiana (10 mi), Noida (10 mi)",7,"3,300.00","3,407.99",3,1136,0,,,,Poor
10/22/24,Luxofy,Meta,Azul,Oct 15 Tailored Leads Campaign,Oct 21 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Omniyat","HNWI, High Value Goods",Both,"Chandigarh (10 mi), Delhi (10 mi), Amritsar (10 mi), Jalandhar (10 mi), Ludhiana (10 mi), Noida (10 mi)",8,"9,600.00","4,364.11",4,1091.03,1,,,,Poor
10/22/24,Luxofy,Meta,Goa Villas,Oct 15 Tailored Leads Campaign,Oct 21 Metro West HNWI,Goa V1,Goa's Finest Living,"Own a Villa in the Beautiful Goa, While sitting back and enjoying 1.75 Lakhs Rent per Month. 

Here is your path for owning the ultimate holiday home! Luxofy helps you turn your Goa getaway into a wealth-generating asset. Want a property that mirrors your success? 

Guirim offers exclusivity and innovation. Invest around Candolim, offering long-term financial returns. You could own at Parra, blending timeless elegance and modern luxury. Looking for sophistication and comfort.

So, Why just visit when you can own your dream home?
","Your ultimate Holiday home awaits. Luxofy offers most exclusive luxury villas in the serene setting of nature's Goa., Sought after by elite weekenders from around India. Now is the time to own your piece of paradise.

Book a Site Visit Today",Own Ultra Luxury Holiday Homes in the nature's Goa,Learn More,Reel,"Emaar Dubai, Nakheel Properties, DAMAC Properties, Jones Lang LaSalle ","HNWI, High Value Goods, Yacht Club",Both,"Chandigarh (10 mi), Delhi (10 mi), Amritsar (10 mi), Jalandhar (10 mi), Ludhiana (10 mi), Noida (10 mi)",8,"3,300.00","1,966.78",0,#DIV/0!,0,,,,Poor
