Date,Partner,Channel,Product,Campaign,Adset,Ad,Theme,Script,Primary Description,Cta Headline,Cta Button,Adtype,Primary,Secondary,Genders,Locations,Ad Duration,Budget,Spend,Leads,Cost Per Lead,Goals,Quality Rating
2024-10-18,Luxofy,Meta,Azul,Oct 15 Tailored Leads Campaign,Oct 15 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,Emaar Dubai,HNWI,Both,Chandigarh (10 mi),4.0,9000.0,8644.48,17.0,508.5,1.0,Good
2024-10-18,Luxofy,Meta,Azul,Oct 15 Tailored Leads Campaign,Oct 15 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,Emaar Dubai,High Value Goods,Both,Chandigarh (10 mi),4.0,9000.0,8644.48,17.0,508.5,1.0,Good
2024-10-18,Luxofy,Meta,Azul,Oct 15 Tailored Leads Campaign,Oct 15 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,Nakheel Properties,HNWI,Both,Chandigarh (10 mi),4.0,9000.0,8644.48,17.0,508.5,1.0,Good
2024-10-18,Luxofy,Meta,Azul,Oct 15 Tailored Leads Campaign,Oct 15 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,Nakheel Properties,High Value Goods,Both,Chandigarh (10 mi),4.0,9000.0,8644.48,17.0,508.5,1.0,Good
2024-10-18,Luxofy,Meta,Azul,Oct 15 Tailored Leads Campaign,Oct 15 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,DAMAC Properties,HNWI,Both,Chandigarh (10 mi),4.0,9000.0,8644.48,17.0,508.5,1.0,Good
2024-10-18,Luxofy,Meta,Azul,Oct 15 Tailored Leads Campaign,Oct 15 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,DAMAC Properties,High Value Goods,Both,Chandigarh (10 mi),4.0,9000.0,8644.48,17.0,508.5,1.0,Good
2024-10-18,Luxofy,Meta,Azul,Oct 15 Tailored Leads Campaign,Oct 15 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,Omniyat,HNWI,Both,Chandigarh (10 mi),4.0,9000.0,8644.48,17.0,508.5,1.0,Good
2024-10-18,Luxofy,Meta,Azul,Oct 15 Tailored Leads Campaign,Oct 15 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,Omniyat,High Value Goods,Both,Chandigarh (10 mi),4.0,9000.0,8644.48,17.0,508.5,1.0,Good
2024-10-18,Luxofy,Meta,Azul,Oct 15 Tailored Leads Campaign,Oct 15 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,Emaar Dubai,HNWI,Both,Delhi (10 mi),4.0,9000.0,8644.48,17.0,508.5,1.0,Good
2024-10-18,Luxofy,Meta,Azul,Oct 15 Tailored Leads Campaign,Oct 15 Metro North HNWI,Azul v1,Serene Luxury Living,"Escape to Azul Estilo—
your rare, private sanctuary 
nestled in the heart of the Himalayas


Experience the height of luxury, 
with every detail 
crafted to blend elegance 
and nature.


Opportunities like this vanish fast—
secure Himachal’s most exclusive 4BHK villa before it’s gone","Your ultimate Himachal retreat awaits. Azul Estilo is the most exclusive luxury chalet in Kasauli, sought after by elite weekenders from Delhi and Chandigarh. Now is the time to own your piece of paradise.

Book a Site Visit Today",Azul is Your Awaited Ultra-Luxury Home in Kasauli,Learn More,Reel,Emaar Dubai,High Value Goods,Both,Delhi (10 mi),4.0,9000.0,8644.48,17.0,508.5,1.0,Good
